식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
섞어찌개(모듬찌개),국,찌개 및 전골류,100ml,47.0,5.58,3.74,1.32,1.46,1.4,290.0,351.0
생선까스,서브 반찬,튀김류,100ml,303.0,17.5,22.81,14.5,0.74,1.0,680.0,77.0
샐러드,서브 반찬2,생채·무침류,100ml,135.5,13.14,1.85,8.34,3.4,0.95,147.0,150.0
소시지튀김,서브 반찬,튀김류,100ml,311.0,20.49,13.64,18.41,1.37,0.9,943.0,75.0
소시지 케첩볶음,메인 반찬,볶음류,100ml,252.0,12.93,11.54,17.08,4.63,1.4,631.0,98.0
소시지볶음,메인 반찬,볶음류,100ml,118.5,6.78,5.74,7.61,2.17,0.7,391.0,200.0
소시지조림,메인 반찬,조림류,100ml,228.5,14.46,11.36,13.94,4.31,1.05,865.0,66.5
소불고기,메인 반찬,구이류,100ml,144.0,6.12,7.81,9.61,2.79,0.6,278.0,100.0
소사태찜,메인 반찬,찜류,100ml,96.0,6.42,9.29,3.31,1.97,1.0,204.0,168.0
소등심구이,메인 반찬,구이류,100ml,320.0,0.26,15.94,26.79,0.0,0.1,254.0,127.0
소라무침,서브 반찬2,생채·무침류,100ml,122.0,7.46,18.67,1.58,2.0,1.0,55.0,91.0
소고기채소볶음,메인 반찬,볶음류,100ml,128.0,3.35,5.12,10.08,2.21,0.7,116.0,191.0
소등심 스테이크,메인 반찬,구이류,100ml,229.0,3.3,10.6,18.22,2.22,0.6,110.0,91.0
소고기볶음,메인 반찬,볶음류,100ml,128.0,3.72,6.54,9.71,1.59,0.8,261.0,123.5
소고기육개장,국,국 및 탕류,100ml,25.0,1.49,1.91,1.41,0.37,0.7,125.0,440.0
소고기찜,메인 반찬,찜류,100ml,117.0,4.95,5.52,8.55,2.55,1.1,163.0,196.0
소고기 샌드위치,서브 반찬,빵 및 과자류,100ml,195.0,20.03,7.07,9.6,3.01,1.2,348.0,223.0
소고기 완자전,서브 반찬,전·적 및 부침류,100ml,318.0,10.08,14.12,23.28,0.19,1.4,480.0,77.0
소고기 장조림,메인 반찬,조림류,100ml,164.67,7.24,14.75,7.94,2.59,0.47,699.33,62.0
순대볶음,메인 반찬,볶음류,100ml,90.0,12.92,2.48,3.43,2.46,2.0,262.33,316.67
순대,메인 반찬,찜류,100ml,252.0,32.11,9.59,8.91,1.12,1.4,1180.0,64.0
순대국,국,국 및 탕류,100ml,55.0,6.98,2.92,1.82,0.5,1.0,182.0,393.0
숙주나물,서브 반찬2,나물·숙채류,100ml,14.5,1.5,1.0,0.7,0.21,0.9,176.75,145.0
숙주미나리나물,서브 반찬2,나물·숙채류,100ml,18.0,1.97,1.11,0.85,0.4,1.2,165.0,170.0
수수밥,밥,밥류,100ml,120.0,26.3,2.21,0.17,0.02,0.5,3.0,350.0
스크램블드에그,서브 반찬,전·적 및 부침류,100ml,164.0,0.8,12.72,11.33,0.11,0.0,628.0,68.0
쑥갓나물,서브 반찬2,나물·숙채류,100ml,26.0,2.45,2.04,1.18,0.07,1.9,327.33,56.67
쑥갓오이무침,서브 반찬2,생채·무침류,100ml,37.0,5.59,1.88,1.06,0.39,1.9,157.0,126.0
쑥튀김,서브 반찬,튀김류,100ml,234.0,19.95,6.63,13.72,0.09,2.3,552.0,60.0
시금치나물,서브 반찬2,나물·숙채류,100ml,30.5,3.63,2.15,1.32,0.7,2.05,337.5,105.0
시래기 된장국,국,국 및 탕류,100ml,13.0,1.9,0.91,0.3,0.33,1.2,237.0,300.0
시래기나물,서브 반찬2,나물·숙채류,100ml,60.0,10.61,2.06,1.79,3.32,3.8,1032.0,100.0
시금치 겉절이,서브 반찬2,생채·무침류,100ml,54.0,6.29,2.95,2.51,1.47,2.8,357.0,80.0
시금치 된장국,국,국 및 탕류,100ml,15.0,2.12,1.17,0.33,0.62,1.1,250.0,270.0
아귀 매운탕,국,찌개 및 전골류,100ml,37.0,3.64,4.58,0.68,1.06,1.2,208.0,333.0
아귀찜,메인 반찬,찜류,100ml,30.0,2.19,4.06,0.69,0.65,0.9,114.0,300.0
아욱 된장국,국,국 및 탕류,100ml,19.0,2.89,1.51,0.4,0.4,1.5,289.0,230.0
애호박 감자된장국,국,국 및 탕류,100ml,24.0,3.39,1.92,0.33,0.69,1.0,206.0,320.0
애호박 된장국,국,국 및 탕류,100ml,23.0,3.18,2.0,0.48,0.97,1.5,283.0,320.0
애호박나물,서브 반찬2,나물·숙채류,100ml,37.0,5.51,1.27,1.44,2.64,2.2,162.0,50.0
알밥,밥,밥류,100ml,86.0,16.25,2.38,1.08,0.74,0.9,169.0,500.0
얼갈이겉절이,서브 반찬2,생채·무침류,100ml,25.0,4.09,1.14,0.71,1.62,2.1,229.0,130.0
어묵탕,국,국 및 탕류,100ml,28.5,3.75,1.98,0.69,0.75,0.3,232.5,460.0
어묵튀김,서브 반찬,튀김류,100ml,179.0,15.76,8.45,8.89,1.92,0.3,797.0,94.0
얼갈이 나물,서브 반찬2,나물·숙채류,100ml,48.0,3.96,1.92,3.05,0.67,2.7,1483.0,100.0
얼갈이 된장국,국,국 및 탕류,100ml,11.0,1.56,0.87,0.29,0.39,0.9,216.0,320.0
어묵잡채,메인 반찬,볶음류,100ml,126.0,9.87,6.54,6.53,2.2,0.6,421.0,237.0
어묵조림,메인 반찬,조림류,100ml,175.5,21.93,9.48,5.66,6.07,0.9,953.0,88.5
어묵국(어묵탕),국,국 및 탕류,100ml,21.0,2.92,1.4,0.48,0.6,0.2,220.0,320.0
어묵볶음,메인 반찬,볶음류,100ml,175.67,19.98,8.5,6.99,6.41,1.1,833.67,127.0
어묵 감자볶음,메인 반찬,볶음류,100ml,209.0,23.61,8.21,9.07,4.37,1.3,559.0,79.0
