식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
콩나물 국밥,밥,밥류,100ml,60.0,10.69,2.64,0.73,0.42,0.8,58.0,830.0
코다리조림,메인 반찬,조림류,100ml,67.0,4.67,9.45,1.0,2.38,0.43,313.33,108.0
코다리찜,메인 반찬,찜류,100ml,46.0,3.74,5.97,0.9,0.85,0.9,149.0,200.0
콩조림,메인 반찬,조림류,100ml,198.0,22.36,13.55,6.44,6.45,7.3,620.0,95.0
콩나물밥,밥,밥류,100ml,120.5,23.64,3.56,1.03,0.32,0.9,113.5,445.0
콩나물잡채,메인 반찬,볶음류,100ml,103.0,3.76,4.83,7.86,1.63,1.0,150.0,145.0
콩비지찌개,국,찌개 및 전골류,100ml,43.0,5.31,2.74,1.22,0.73,3.5,234.0,240.0
콩나물무침,서브 반찬2,나물·숙채류,100ml,27.5,2.68,2.53,1.36,0.48,1.23,217.83,58.33
콩나물냉채,서브 반찬2,생채·무침류,100ml,42.0,6.95,2.81,0.96,3.36,1.5,153.0,150.0
파래무침,서브 반찬2,생채·무침류,100ml,36.0,6.76,2.34,0.75,1.81,2.65,469.0,80.0
파래볶음,메인 반찬,볶음류,100ml,49.0,3.03,1.58,4.1,0.69,1.5,410.0,100.0
파무침,서브 반찬2,생채·무침류,100ml,40.0,5.72,1.29,1.7,3.14,1.7,286.0,85.0
탕평채,서브 반찬2,생채·무침류,100ml,73.0,6.29,2.38,4.34,0.3,1.6,646.0,150.0
토란국,국,국 및 탕류,100ml,34.0,3.56,1.92,1.45,0.26,0.9,182.0,320.0
탕수어,서브 반찬,튀김류,100ml,281.0,38.73,12.62,7.79,8.36,1.3,323.0,113.0
탕수육,서브 반찬,튀김류,100ml,225.0,21.14,13.06,9.15,6.11,1.0,222.0,155.0
풋마늘무침,서브 반찬2,생채·무침류,100ml,62.0,9.59,1.79,2.72,5.19,3.4,93.0,81.0
표고버섯볶음,메인 반찬,볶음류,100ml,35.0,3.96,1.71,2.11,0.92,1.9,143.0,110.0
풋고추된장무침,서브 반찬2,생채·무침류,100ml,45.0,7.94,1.94,0.92,2.16,2.7,390.0,50.0
팥죽,국,죽 및 스프류,100ml,83.0,17.13,2.96,0.18,2.99,2.1,112.0,302.0
팥밥,밥,밥류,100ml,119.0,25.37,2.56,0.35,0.16,1.0,4.0,300.0
파전,서브 반찬,전·적 및 부침류,100ml,154.5,17.73,4.49,6.82,0.78,1.25,507.0,110.5
팔보채,메인 반찬,볶음류,100ml,137.0,3.17,12.66,7.52,1.1,0.9,609.0,132.0
피자,서브 반찬,빵 및 과자류,100ml,128.0,15.57,6.28,4.11,1.33,1.2,126.0,300.0
가오리회무침,서브 반찬2,생채·무침류,100ml,47.0,6.47,4.73,0.48,3.54,1.3,164.0,270.0
가자미 매운탕,국,찌개 및 전골류,100ml,31.0,1.5,4.45,0.81,0.36,0.5,113.0,550.0
가자미구이,메인 반찬,구이류,100ml,150.0,3.85,14.69,7.8,0.03,0.1,291.0,190.0
가자미조림,메인 반찬,조림류,100ml,87.0,3.64,12.18,2.52,0.82,1.1,345.0,188.0
가자미찜,메인 반찬,찜류,100ml,77.0,2.67,11.75,1.95,0.72,0.7,344.0,170.0
가자미튀김,서브 반찬,튀김류,100ml,94.0,2.9,5.11,6.54,0.0,0.1,215.0,100.0
가지나물,서브 반찬2,나물·숙채류,100ml,25.0,3.82,1.06,0.85,1.84,2.0,218.0,130.0
가지냉국,국,국 및 탕류,100ml,19.0,3.42,1.11,0.39,1.4,1.9,654.0,160.0
가지전,서브 반찬,전·적 및 부침류,100ml,114.0,11.22,3.23,6.13,1.69,2.2,537.0,96.0
가지탕수,서브 반찬,튀김류,100ml,154.0,21.21,2.18,6.5,4.19,2.1,236.0,195.0
갈비탕,국,국 및 탕류,100ml,75.0,2.32,4.38,5.02,0.17,0.2,179.0,270.0
갈치구이,메인 반찬,구이류,100ml,123.5,3.96,9.35,7.32,0.0,0.1,314.0,170.0
갈치조림,메인 반찬,조림류,100ml,76.0,4.67,7.14,3.09,1.68,1.1,297.0,95.0
갈치찌개,국,찌개 및 전골류,100ml,39.0,2.4,3.88,1.56,0.74,0.6,313.0,417.0
갈치튀김,서브 반찬,튀김류,100ml,78.0,1.85,4.59,5.47,0.0,0.1,172.0,100.0
감자 된장국,국,국 및 탕류,100ml,22.0,3.31,1.43,0.32,0.3,0.9,216.0,320.0
감자 호박된장국,국,국 및 탕류,100ml,25.0,3.51,2.12,0.43,0.55,1.4,377.0,320.0
감자구이,메인 반찬,구이류,100ml,123.0,18.18,2.42,4.65,0.0,3.3,1.0,108.0
감자국,국,국 및 탕류,100ml,30.0,4.26,1.49,0.84,0.16,0.8,176.5,280.0
감자밥,밥,밥류,100ml,130.0,28.45,2.45,0.14,0.01,0.7,2.0,261.0
감자볶음,메인 반찬,볶음류,100ml,91.71,11.46,2.43,4.14,1.78,2.14,329.14,124.86
감자샐러드,서브 반찬2,생채·무침류,100ml,132.5,13.38,2.2,8.01,1.72,2.2,659.0,100.5
감자샐러드 샌드위치,서브 반찬,빵 및 과자류,100ml,108.0,13.39,3.07,4.74,2.27,1.3,217.0,380.0
감자스프,국,죽 및 스프류,100ml,100.0,12.06,2.75,4.33,3.25,1.0,20.0,200.0
감자연근튀김,서브 반찬,튀김류,100ml,149.0,22.74,3.82,4.31,0.38,1.8,405.0,155.0
감자전,서브 반찬,전·적 및 부침류,100ml,135.0,16.98,4.15,5.4,0.02,2.2,444.0,119.0
감자조림,메인 반찬,조림류,100ml,132.0,19.78,2.76,4.86,2.3,2.9,323.0,95.0
하이라이스,밥,밥류,100ml,111.0,21.33,2.73,1.29,0.87,0.8,63.0,607.0
함박스테이크,메인 반찬,구이류,100ml,155.0,10.42,17.5,4.08,2.89,0.9,175.0,132.0
해물 된장국,국,국 및 탕류,100ml,38.0,1.94,5.88,0.65,0.66,0.6,319.0,320.0
해물 완자전,서브 반찬,전·적 및 부침류,100ml,206.0,10.64,15.45,10.71,1.85,1.0,147.0,75.0
해물볶음,메인 반찬,볶음류,100ml,133.0,9.22,14.13,4.35,4.06,1.2,409.0,168.0
해물콩나물찜,메인 반찬,찜류,100ml,48.0,4.77,6.34,0.8,0.94,1.2,191.0,129.0
해물파전,서브 반찬,전·적 및 부침류,100ml,142.0,13.44,10.35,4.69,0.95,1.0,94.0,128.0
해파리냉채,서브 반찬2,생채·무침류,100ml,31.0,5.64,1.54,0.46,3.23,0.8,321.0,85.0
햄구이,메인 반찬,구이류,100ml,148.0,1.95,20.22,6.51,1.5,0.0,743.0,61.0
햄버거,서브 반찬,빵 및 과자류,100ml,185.33,17.54,8.21,8.85,2.69,2.27,361.0,262.0
햄부침,서브 반찬,전·적 및 부침류,100ml,221.0,15.58,15.42,10.07,0.79,0.5,412.0,80.0
햄샌드위치,서브 반찬,빵 및 과자류,100ml,192.0,19.19,5.38,10.39,2.16,1.6,289.0,168.0
햄샐러드,서브 반찬2,생채·무침류,100ml,136.0,17.04,4.54,5.59,6.0,1.6,240.0,158.0
햄채소볶음,메인 반찬,볶음류,100ml,68.0,3.82,6.3,3.03,1.99,0.8,335.0,210.0
현미밥,밥,밥류,100ml,120.5,26.03,2.2,0.29,0.1,0.6,2.0,370.0
호떡,서브 반찬,빵 및 과자류,100ml,147.0,20.14,2.72,5.91,4.76,0.9,2.0,104.0
호박 된장국,국,국 및 탕류,100ml,17.0,2.17,1.18,0.41,0.49,0.8,212.0,170.0
호박나물,서브 반찬2,나물·숙채류,100ml,54.0,5.37,1.13,3.4,2.42,2.1,368.0,70.0
호박죽,국,죽 및 스프류,100ml,43.0,9.7,0.81,0.17,2.1,1.1,184.0,270.0
혼합잡곡밥,밥,밥류,100ml,118.0,25.64,2.33,0.22,0.07,0.7,2.0,250.0
홍어회무침,서브 반찬2,생채·무침류,100ml,61.0,6.64,8.26,0.41,2.72,1.4,424.0,136.0
홍합 무국,국,국 및 탕류,100ml,23.0,1.3,2.52,0.85,0.32,0.2,283.0,320.0
홍합 미역국,국,국 및 탕류,100ml,9.0,0.74,1.12,0.25,0.02,0.4,253.0,320.0
홍합 소고기죽,국,죽 및 스프류,100ml,130.0,17.83,6.16,3.33,0.71,0.8,127.0,225.0
홍합국(홍합탕),국,국 및 탕류,100ml,17.0,0.75,2.81,0.24,0.04,0.0,137.0,300.0
회덮밥,밥,밥류,100ml,79.0,14.17,3.81,0.58,1.54,0.6,66.0,698.0
흑미밥,밥,밥류,100ml,119.0,25.63,2.25,0.37,0.18,0.8,1.0,390.0
흰죽,국,죽 및 스프류,100ml,64.0,13.49,1.17,0.28,0.09,0.3,130.0,291.0
